Order,Family,Species,ZooMS_taxon,COL1a1_508_520,COLa1_2_978_990,COLa1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16
Artiodactyla,Bovidae,Oreotragus_oreotragus,Oreotragus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Ourebia_ourebi,Ourebia,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Philantomba_monticola,Philantomba,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Raphicerus_campestris,Raphicerus,1105.6,1180.6,1196.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Rupicapra_rupicapra,Rupicapra,1105.6,1180.6,1196.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Sylvicapra_grimmia,Sylvicapra,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2853.4,2869.4,3043.4,3059.4
Artiodactyla,Bovidae,Syncerus_caffer,Syncerus,1105.6,1192.6,1208.6,1455.7,1580.8,2131.1,1648.8,2792.4,2853.4,2869.4,3059.4,3075.4
Artiodactyla,Bovidae,Taurotragus_sp.,Taurotragus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_buxtoni,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_eurycerus,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_imberis,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_scriptus,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_spekii,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Bovidae,Tragelaphus_strepsiceros,Tragelaphus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,3043.4,3059.4
Artiodactyla,Cervidae,Pudu_sp.,Pudu,1105.6,1180.6,1196.6,1427.7,1593.8,2131.1,1648.8,2792.4,2883.4,2899.4,,
Artiodactyla,Giraffidae,Giraffa_sp.,Giraffa,1105.6,,,1427.7,1580.8,2131.1,1648.8,2792.4,2883.4,2899.4,,
Artiodactyla,Hippopotamidae,Choeropsis_liberiensis,Choeropsis,,1189.6,1205.6,1453.7,1581.8,2147.1,,,2869.4,2885.4,3017.4,3033.4
Artiodactyla,Hippopotamidae,Hippopotamus_amphibius,Hippopotamus,1105.6,1189.6,1205.6,1453.7,1580.8,2147.1,1648.8,2792.4,2869.4,2885.4,3017.4,3033.4
Chiroptera,Rhinolophidae,Rhinolophus_ferrumequinum,Rhinolophus,,1291.7,,,1594.8,2163.1,1503.8,,,,2999.4,
Chiroptera,Rhinolophidae,Rhinolophus_hipposideros,Rhinolophus,,1253.7,,,1594.8,2163.1,1503.8,,,,2999.4,
Perissodactyla,Equidae,Equus_sp.,Equus,1105.6,1182.6,1198.6,1427.7,1550.8,2145.1,1649.8,2820.4,2883.4,2899.4,2983.4,2999.4
Perissodactyla,Rhinocerotidae,Diceros_bicornis,Diceros,1105.6,1182.6,1198.6,1453.7,1550.8,2145.1,,2820.4,2869.4,2885.4,2983.4,2999.4
Primates,Hominidae,Gorilla_sp.,Gorilla,1105.6,1219.6,1235.6,1477.7,1580.8,2105.1,1619.8,2832.4,2869.4,2885.4,2957.4,2973.4
Primates,Hominidae,Homo_sapiens,Homo,1105.6,,1235.6,1477.7,1580.8,2115.1,1619.8,2832.4,2869.4,2885.4,2957.4,2973.4
Primates,Hominidae,Pan_paniscus,Pan,1105.6,1219.6,1235.6,1477.7,1580.8,2115.1,1619.8,2832.4,2869.4,2885.4,2957.4,2973.4
Primates,Hominidae,Pan_troglodytes,Pan,1105.6,1219.6,1235.6,1477.7,1580.8,2115.1,1619.8,2832.4,2869.4,2885.4,2957.4,2973.4
Proboscidea,Elephantidae,Loxodonta_sp.,Mammoth/Elephas/Loxodonta,1105.6,1145.6,1161.6,1453.7,1579.8,2115.1,1556.8,2808.4,2853.4,2869.4,2999.4,3015.4
Rodentia,Muridae,Mus_musculus,Mus,1105.6,1178.6,1194.6,1453.7,1592.8,2159.1,,2866.4,2895.4,2911.4,2931.4,2947.4
Rodentia,Muridae,Rattus_norvegicus,Rattus,1105.6,1187.6,1203.6,1453.7,1592.8,2143.1,,2808.4,2883.4,2899.4,2987.4,3003.4
Rodentia,Muridae,Rattus_rattus,Rattus,1105.6,1187.6,1203.6,1453.7,1592.8,2143.1,,2808.4,2883.4,2899.4,2957.4,
Artiodactyla,Bovidae,Cephalophus_adersi,Cephalophus,1105.6,1192.6,1208.6,1427.7,1580.8,2131.1,1648.8,2792.4,2853.4,2869.4,3043.4,3059.4
Artiodactyla,Bovidae,Pelea_capreolus,Pelea,1105.6,1150.6,1166.6,1427.7,1550.8,2131.1,1648.8,2792.4,2883.4,2899.4,3017.4,3033.4
Lagomorpha,Leporidae,Lepus sp.,Lepus,1105.6,1159.6,1221.6,1453.7,1566.8,,2129.1,2808,2883.4,2899.4,2957.4,2973.4
Lagomorpha,Leporidae,Lepus sp._3,Lepus,1105.6,1159.6,1221.6,1453.7,1566.8,,2129.1,2836,2883.4,2899.4,2957.4,2973.4
Lagomorpha,Leporidae,Lepus sp._2,Lepus,1105.6,1159.6,1221.6,1453.7,1592.8,,2129.1,2836,2883.4,2899.4,2957.4,2973.4
Lagomorpha,Leporidae,Oryctolagus cuniculus,Oryctolagus,1105.6,,,1453.7,1566.8,,2129.1,2808,2883.4,2899.4,2957.4,2973.4
Lagomorpha,Leporidae,Oryctolagus cuniculus,Oryctolagus,1105.6,,,1453.7,1566.8,,2129.1,2836,2883.4,2899.4,2957.4,2973.4
Lagomorpha,Leporidae,Oryctolagus cuniculus_2,Oryctolagus,1105.6,,,1453.7,1592.8,,2129.1,2836,2883.4,2899.4,2957.4,2973.4
Carnivora,Canidae,Canis familiaris,Canis,1105.6,1210.6,1226.6,1453.7,1566.8,1609.8,2131.1,2820.4,2853.4,2869.4,2983.4,2999.4
Carnivora,Felidae,Felis catus,Felis,1105.6,1207.6,1223.6,1453.7,1566.8,1609.8,2163.1,2820.4,2853.4,2869.4,2983.4,2999.4
Artiodactyla,Suidae,Sus domesticus,Sus,1105.6,1180.6,1196.6,1453.7,1550.8,1647.8,2131.1,2820.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Ovis aries,Ovis,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4
Artiodactyla,Bovidae,Bos taurus,Bos/Bison,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4
Artiodactyla,Bovidae,Capra hircus,Capra,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3077.4,3093.4
Perissodactyla,Equidae,Equus africanus asinus,Equus,1105.6,1150.6,1198.6,1427.7,1550.8,1649.8,2145.1,2820.4,2883.4,2899.4,2983.4,2999.4
Perissodactyla,Rhinocerotidae,Ceratotherium simum,Rhinoceros,1105.6,1182.6,1198.6,1453.7,1550.8,1623.8,2145.1,2820.4,2869.4,2885.4,2983.4,2999.4
Primates,Cercopithecidae,Chlorocebus sabaeus,Cercopithecoid/Chorocebus/Macaca,1105.6,1182.6,1235.6,1427.7,1580.8,1619.8,2115.1,2832.4,2883.4,2899.4,2957.4,2973.4
Primates,Cercopithecidae,Papio anubis,Cercopithecoid/Papio,1105.6,1219.6,1235.6,1413.7,1580.8,1619.8,2129.1,2832.4,2883.4,2899.4,2957.4,2973.4
Primates,Cercopithecidae,Papio hamadryas,Cercopithecoid/Papio,1105.6,1219.6,1235.6,1413.7,1580.8,1619.8,2129.1,2832.4,2883.4,2899.4,2957.4,2973.4
