Sample,contaminant,mass
CP952,Keratin (Human),2150.0778
CP954,Keratin (Human),1121.5837
CP954,Keratin (Human),2150.0778
CP954,Keratin (Human),2566.2784
CP958,4HCCA Cluster,855.0714
CP958,Porcine Trypsin,842.5094
CP958,Porcine Trypsin,2211.104
CP958,Porcine Trypsin - Methylated,870.5407
CP903,Keratin (Human),1121.5837
CP874,4HCCA Cluster,855.0714
CP874,4HCCA Cluster,1060.0879
CP874,Porcine Trypsin,842.5094
CP874,Porcine Trypsin,1045.5637
CP874,Porcine Trypsin - Methylated,870.5407
CP948,4HCCA Cluster,855.0714
CP948,4HCCA Cluster,1066.0959
CP948,4HCCA Cluster,1060.0879
CP950,Keratin (Human),1121.5837
CP889,4HCCA Cluster,855.0714
CP889,4HCCA Cluster,1060.0879
CP889,Porcine Trypsin,842.5094
CP889,Porcine Trypsin - Methylated,870.5407
CP884,Bovine Casein a-S1,1251.7096
CP884,Keratin (Human),1121.5837
CP957,4HCCA Cluster,855.0714
CP957,Porcine Trypsin - Methylated,870.5407
CP921,4HCCA Cluster,871.0453
CP921,Keratin,809.4403
CP921,Porcine Trypsin - Methylated,870.5407
CP972,4HCCA Cluster,855.0714
CP972,Porcine Trypsin,842.5094
CP972,Porcine Trypsin - Methylated,870.5407
CP960,Keratin (Human),1121.5837
CP868,Porcine Trypsin,842.5094
CP868,Porcine Trypsin,1045.5637
CP868,Porcine Trypsin - Methylated,870.5407
CP970,4HCCA Cluster,855.0714
CP970,4HCCA Cluster,1060.0879
CP970,Porcine Trypsin - Methylated,870.5407
CP949,4HCCA Cluster,855.0714
CP949,4HCCA Cluster,1060.0879
CP949,Porcine Trypsin,2211.104
CP942,Keratin (Human),1121.5837
CP906,4HCCA Cluster,855.0714
CP906,Porcine Trypsin,842.5094
CP906,Porcine Trypsin - Methylated,870.5407
CP923,4HCCA Cluster,855.0714
CP923,4HCCA Cluster,1060.0879
CP923,Porcine Trypsin,2211.104
CP923,Porcine Trypsin - Methylated,870.5407
CP920,4HCCA Cluster,871.0453
CP920,4HCCA Cluster,1060.0879
CP920,Keratin (Human),1060.5633
CP920,Keratin (Human),1475.7489
CP920,Keratin (Human),1475.7853
CP932,4HCCA Cluster,855.0714
CP932,4HCCA Cluster,871.0453
CP932,4HCCA Cluster,1060.0879
CP932,Porcine Trypsin,842.5094
CP932,Porcine Trypsin - Methylated,870.5407
CP931,4HCCA Cluster,855.0714
CP931,4HCCA Cluster,1060.0879
CP931,Porcine Trypsin - Methylated,870.5407
