Sample,COL1_1_508_519,COL1_2_978_990,COL1_2_978_990_16,COL1a2_484___499,COL1a2_502___519,COL1a2_292___309,COL1a2_793___816,COL1a2_454___483,COL1a1_586___618,COL1a1_586___618_16,COL1a2_757___789,COL1a2_757___789_16,ZooMS_taxon,Family,Order,Correlation
DC12783,1105.6,,,1427.7,1580.8,,,,,,,,Rangifer/Capra/Ovis/Ovibos/Cervus/Saiga/Gazelle/Capra,Cervidae/Bovidae,Artiodactyla,0.129806052
DC12784,1105.6,1182.6,,1427.7,,,2145.1,,2883.4,,,2999.4,Equus,Equidae,Perissodactyla,0.25791077
DC12785,1105.6,,,1427.7,,1648.8,2131.1,,,2899.4,,3033.4,Cervus/Saiga/Gazelle/Ovibos,Cervidae/Bovidae,Artiodactyla,0.234189513
DC12786,1105.6,,1208.6,1427.7,,1648.8,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.226918537
DC12787,1105.6,,1208.6,1427.7,,,2131.1,,2853.4,,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.217583935
DC12788,1105.6,,,1427.7,,,2131.1,,2883.4,,,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.199933041
DC12789,1105.6,1182.6,,1427.7,,,2145.1,,,,,2999.4,Equus,Equidae,Perissodactyla,0.258242485
DC12790,1105.6,,,1427.7,,1648.8,2131.1,2792.4,2883.4,,3077.4,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.266139482
DC12791,,,,1453.7,,2145.1,2869.4,,,2999.4,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.215378215
DC12792,1105.6,,,1427.7,,,2131.1,,2883.4,,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.210043297
DC12793,1105.6,,,1427.7,,1648.8,2131.1,,,,,3033.4,Ovibos/Ovis/Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.243950077
DC15000,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.215694265
DC15001,1105.6,,,1427.7,1550.8,1648.8,2131.1,,,2899.4,3043.4,3059.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.208214922
DC15002,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.287618507
DC15003,1105.6,,1226.6,1453.7,1566.8,2131.1,2820.4,2853.4,2869.4,,2999.4,,Cuon/Vulpes/Canis,Canidae,Carnivora,0.209966889
DC15004,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.262609438
DC15005,1105.6,,,1453.7,1566.8,2147.1,,2853.4,2869.4,,2999.4,,Mustela/Lutra,Mustelidae,Carnivora,0.205540296
DC15006,1105.6,,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Ovis,Bovidae,Artiodactyla,0.285861603
DC15007,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Bovidae/Cervidae,Artiodactyla,0.277176947
DC15008,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,,Bos/Bison,Bovidae,Artiodactyla,0.230072703
DC15009,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.277856763
DC15010,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,2792.4,2883.4,,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.259445684
DC15011,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,,Bos/Bison,Bovidae,Artiodactyla,0.219890502
DC15012,,1453.7,1566.8,2147.1,2853.4,2999.4,,,,,,,Mustela,Mustelidae,Carnivora,0.208299925
DC15013,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,,3093.4,Rangifer/Capra,Cervidae/Bovidae,Artiodactyla,0.242946371
DC15014,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Ovis,Bovidae,Artiodactyla,0.301198921
DC15015,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.2836173
DC15016,1105.6,,1453.7,1566.8,,2163.1,2853.4,2869.4,2957.4,,,,Ursus,Ursidae,Carnivora,0.203758051
DC15017,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,2899.4,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.293869544
DC15018,1105.6,1182.6,,1427.7,,1649.8,2145.1,2820.4,2883.4,2899.4,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.281090433
DC15019,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.255742386
DC15020,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Ovis,Bovidae,Artiodactyla,0.303978674
DC15021,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.276005076
DC15022,1105.6,1180.6,1196.6,1427.7,1550.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.322060429
DC15023,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.270044991
DC15024,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.28730419
DC15025,1105.6,1233.6,1453.7,,,2163.1,2853.4,2869.4,2957.4,2973.4,,,Ursus,Ursidae,Carnivora,0.242293024
DC15026,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.27019472
DC15027,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.259642296
DC15028,1105.6,,1196.6,1427.7,,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.251453558
DC15029,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.328502872
DC15030,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.265449301
DC15031,1221.6,1594.8,1548.8,2147.1,,,,,,,,,Barbastella,Vespertilionidae,Chiroptera,0.147785365
DC15032,1105.6,1180.6,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,,3077.4,3093.4,Capra,Bovidae,Artiodactyla,0.278335796
DC15034,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.253119022
DC15035,1105.6,,1226.6,1453.7,,2131.1,2820.4,2853.4,,2983.4,2999.4,,Cuon/Canis,Canidae,Carnivora,0.239988894
DC15036,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.214434883
DC15037,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.260885044
DC15038,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.231902916
DC15039,1105.6,1453.7,1579.8,2115.1,2808.4,2853.4,2869.4,,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.268027207
DC15040,1105.6,,,1427.7,,1648.8,2131.1,2792.4,2883.4,,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.253273895
DC15044,1105.6,,,1453.7,,,2147.1,,2853.4,2869.4,,2999.4,Crocuta,Hyaenidae,Carnivora,0.21711219
DC15045,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,,,,Equus,Equidae,Perissodactyla,0.189382231
DC15046,1105.6,,,1453.7,,2131.1,,2853.4,2869.4,2983.4,2999.4,,Canis/Cuon,Canidae,Carnivora,0.221174047
DC15047,1105.6,1453.7,1579.8,2115.1,,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.233177233
DC15048,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.272660241
DC15049,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.293867067
DC15050,1105.6,1453.7,1579.8,2115.1,,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.290584475
DC15051,1105.6,,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Ovis,Bovidae,Artiodactyla,0.256861482
DC15052,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Ovis,Bovidae,Artiodactyla,0.299432779
DC15053,1105.6,,,1427.7,,,2131.1,2792.4,2883.4,,3017.4,3033.4,Cervus/Saiga/Gazelle,Bovidae/Cervidae,Artiodactyla,0.203068194
DC15054,1105.6,1453.7,1579.8,2115.1,2808.4,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.253779834
DC15055,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,,2883.4,,3017.4,3033.4,Cervus/Saiga/Gazelle,Bovidae/Cervidae,Artiodactyla,0.203877095
DC15057,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.261042393
DC15058,1105.6,,1196.6,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,3017.4,,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.219658566
DC15059,1105.6,,,1427.7,1550.8,1648.8,2131.1,,2883.4,2899.4,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.301005081
DC15060,1105.6,1453.7,1579.8,2115.1,2808.4,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.281555965
DC15061,1105.6,,,1427.7,,,2131.1,,2883.4,,3017.4,3033.4,Cervus/Saiga/Gazelle,Cervidae/Bovidae,Artiodactyla,0.219127037
DC15062,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.259127795
DC15063,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.298414048
DC15064,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.291236766
DC15065,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,2899.4,,2999.4,Equus,Equidae,Perissodactyla,0.261015382
DC15066,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.288144589
DC15067,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,2899.4,,2999.4,Equus,Equidae,Perissodactyla,0.261681575
DC15068,1105.6,1182.6,,1427.7,1550.8,1649.8,2145.1,2820.4,2883.4,2899.4,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.378407942
DC15069,1105.6,1182.6,,1427.7,,,2145.1,,2883.4,,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.249132871
DC15070,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.252287012
DC15071,1105.6,,,1453.7,,2131.1,2820.4,2853.4,2869.4,,2999.4,,Canis/Cuon,Canidae,Carnivora,0.213432846
DC15072,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.277261667
DC15073,1105.6,,1427.7,,,2145.1,,2883.4,2899.4,,2999.4,,Equus,Equidae,Perissodactyla,0.211053391
DC15074,1105.6,1182.6,,1427.7,,1649.8,2145.1,2820.4,2883.4,,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.30746292
DC15075,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.287971224
DC15076,1105.6,,,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3077.4,3093.4,Capra/Rangifer,Bovidae/Cervidae,Artiodactyla,0.318792112
DC15077,1105.6,1182.6,,1427.7,,,2145.1,2820.4,2883.4,2899.4,,2999.4,Equus,Equidae,Perissodactyla,0.272988238
DC15078,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,,3033.4,Ovis/Ovibos,Bovidae,Artiodactyla,0.260225628
DC15079,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.283826566
DC15080,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.213420051
DC15081,1105.6,,,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3017.4,3033.4,Ovis/Ovibos,Bovidae,Artiodactyla,0.245022979
DC15082,1105.6,1182.6,,1427.7,,,2145.1,2820.4,2883.4,2899.4,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.275821423
DC15083,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.287971224
DC15084,1105.6,,1226.6,1453.7,,2131.1,2820.4,2853.4,2869.4,2983.4,2999.4,,Cuon/Canis,Canidae,Carnivora,0.242356419
DC15085,1105.6,1180.6,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,3077.4,3093.4,Capra,Bovidae,Artiodactyla,0.282199605
DC15086,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.222824536
DC15087,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.29061294
DC15088,1105.6,1182.6,,1427.7,1550.8,,2145.1,2820.4,2883.4,2899.4,,2999.4,Equus,Equidae,Perissodactyla,0.264770392
DC15089,1105.6,1453.7,1579.8,2115.1,2808.4,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.299397322
DC15090,1105.6,,,1427.7,1580.8,1648.8,2131.1,,2883.4,2899.4,3077.4,3093.4,Rangifer/Capra,Cervidae/Bovidae,Artiodactyla,0.235404454
DC15091,1105.6,,,1453.7,1550.8,2145.1,2869.4,2885.4,2983.4,2999.4,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.223747547
DC15092,,1453.7,1566.8,2147.1,2853.4,2999.4,,,,,,,Mustela,Mustelidae,Carnivora,0.201468741
DC15093,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.309474727
DC15094,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.292358252
DC15095,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.302839322
DC15096,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.293197711
DC15097,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.293544879
DC15098,1105.6,,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.318939766
DC15099,1105.6,,1196.6,1427.7,1580.8,1648.8,2131.1,2792.4,2883.4,2899.4,,3093.4,Capra,Bovidae,Artiodactyla,0.279300122
DC15100,1105.6,1453.7,1579.8,2115.1,2808.4,2853.4,2869.4,2999.4,3015.4,,,,Mammoth/Elephas,Elephantidae,Proboscidea,0.241135172
DC15101,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.256346302
DC15102,1105.6,1192.6,1208.6,1427.7,1580.8,1648.8,2131.1,2792.4,2853.4,2869.4,3017.4,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.325525495
DC15103,1105.6,,,1453.7,1550.8,2145.1,2869.4,,,,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.142495945
DC15104,1105.6,,1208.6,1427.7,,,2131.1,,2853.4,2869.4,,3033.4,Bos/Bison,Bovidae,Artiodactyla,0.156495244
DC15105,1105.6,1182.6,,1427.7,1550.8,,2145.1,,2883.4,2899.4,2983.4,2999.4,Equus,Equidae,Perissodactyla,0.262273053
DC15107,1105.6,1182.6,1198.6,1453.7,1550.8,2145.1,2869.4,,,2999.4,,,Rhinoceros,Rhinocerotidae,Perissodactyla,0.196241799
