Sample,contaminant,mass
DC15119,Keratin,2705.1611
DC15119,Keratin (Human),1183.6157
DC15119,Keratin (Human),1201.6171
DC15119,Keratin (Human),1491.7438
DC15119,Keratin (Human),1765.7347
DC15119,"Keratin (Human), ion source fragment",863.4734
DC15081,4HCCA Cluster,855.0714
DC15081,4HCCA Cluster,861.0794
DC15081,Bovine Casein a-S1,1267.7045
DC15081,Keratin,1549.6772
DC15081,Keratin (Human),2286.1248
DC15062,4HCCA Cluster,839.0974
DC15062,4HCCA Cluster,855.0714
DC15062,4HCCA Cluster,861.0794
DC15062,4HCCA Cluster,871.0453
DC15062,4HCCA Cluster,1066.0959
DC15062,Keratin,2705.1611
DC15062,Keratin (Human),1201.6171
DC15125,4HCCA Cluster,855.0714
DC15125,4HCCA Cluster,606.0915
DC15125,Keratin,1549.6772
DC15250,4HCCA Cluster,871.0453
DC15037,4HCCA Cluster,855.0714
DC15037,4HCCA Cluster,861.0794
DC15037,Bovine Casein a-S1,1267.7045
DC15037,Keratin,1549.6772
DC15037,Keratin,2705.1611
DC15037,Keratin (Human),1201.6171
DC15037,Keratin (Human),2150.0778
DC15037,"Porcine Trypsin, Methylated",2720.3634
DC15267,4HCCA Cluster,855.0714
DC15267,4HCCA Cluster,871.0453
DC15267,Bovine Casein a-S1,1251.7096
DC15267,Bovine Casein a-S1,1267.7045
DC15267,"Porcine Trypsin, Truncated",1713.8079
DC15068,4HCCA Cluster,861.0794
DC15068,Keratin,2705.1611
DC15278,4HCCA Cluster,855.0714
DC15278,4HCCA Cluster,871.0453
DC15278,4HCCA Cluster,606.0915
DC15278,Bovine Casein a-S1,1251.7096
DC15278,Bovine Casein a-S1,1267.7045
DC15278,Keratin (Human),2510.1318
DC15278,Keratin (Human),2566.2784
DC15278,"Porcine Trypsin, Methylated",2720.3634
DC15278,"Porcine Trypsin, Truncated",1713.8079
DC15055,4HCCA Cluster,839.0974
DC15055,4HCCA Cluster,855.0714
DC15055,4HCCA Cluster,871.0453
DC15055,4HCCA Cluster,1066.0959
DC15055,Keratin (Human),1201.6171
DC15127,4HCCA Cluster,855.0714
DC15127,4HCCA Cluster,871.0453
DC15127,4HCCA Cluster,606.0915
DC15127,Bovine Serum Albumin (BSA),1491.7518
DC15127,Keratin,2705.1611
DC15127,Keratin (Human),1475.7489
DC15127,Keratin (Human),1475.7853
DC15127,Keratin (Human),1491.7438
DC15267,Bovine Casein a-S1,1267.7045
DC15267,Keratin (Human),2566.2784
DC15238,4HCCA Cluster,855.0714
DC15238,4HCCA Cluster,871.0453
DC15238,4HCCA Cluster,606.0915
DC15238,Bovine Casein a-S1,1267.7045
DC15276,Bovine Casein a-S1,1267.7045
DC15276,Keratin,2705.1611
DC15038,4HCCA Cluster,861.0794
DC15038,Keratin,1549.6772
DC15038,Keratin,2705.1611
DC15038,Keratin (Human),874.4993
DC15038,Keratin (Human),2286.1248
DC15132,4HCCA Cluster,855.0714
DC15132,4HCCA Cluster,871.0453
DC15132,4HCCA Cluster,1060.0879
DC15132,4HCCA Cluster,606.0915
DC15132,Keratin,1549.6772
DC15132,Keratin,2705.1611
DC15132,Keratin (Human),1193.6161
DC15132,Keratin (Human),2286.1248
DC15085,4HCCA Cluster,855.0714
DC15085,4HCCA Cluster,871.0453
DC15085,4HCCA Cluster,606.0915
DC15085,Bovine Casein a-S1,1267.7045
DC15085,Keratin,1549.6772
DC15085,Keratin,2705.1611
DC15085,Keratin (Human),2286.1248
DC15266,4HCCA Cluster,855.0714
DC15266,4HCCA Cluster,871.0453
DC15266,4HCCA Cluster,606.0915
DC15266,Bovine Casein a-S1,1267.7045
DC15266,"Porcine Trypsin, Methylated",2720.3634
DC15242,4HCCA Cluster,855.0714
DC15242,4HCCA Cluster,871.0453
DC15242,4HCCA Cluster,606.0915
DC15242,Bovine Casein a-S1,1267.7045
DC15140,4HCCA Cluster,855.0714
DC15140,4HCCA Cluster,871.0453
DC15140,4HCCA Cluster,606.0915
DC15140,Bovine Casein a-S1,1267.7045
DC15140,Keratin,1549.6772
DC15140,Keratin,2705.1611
DC15140,Keratin (Human),1193.6161
DC15140,Keratin (Human),1201.6171
DC15028,4HCCA Cluster,855.0714
DC15028,4HCCA Cluster,861.0794
DC15028,Bovine Casein a-S1,1267.7045
DC15028,Keratin,1549.6772
DC15028,Keratin,2581.1947
DC15028,Keratin,2705.1611
DC15028,Keratin (Human),1201.6171
DC15028,Keratin (Human),2501.0672
DC15028,Keratin (Human),2501.2518
DC15095,4HCCA Cluster,855.0714
DC15095,4HCCA Cluster,861.0794
DC15095,4HCCA Cluster,871.0453
DC15095,4HCCA Cluster,1066.0959
DC15095,4HCCA Cluster,606.0915
DC15095,Bovine Casein a-S1,1267.7045
DC15095,Keratin,1549.6772
DC15095,Keratin,2705.1611
DC15095,Keratin (Human),1193.6161
DC15126,4HCCA Cluster,855.0714
DC15126,4HCCA Cluster,871.0453
DC15126,4HCCA Cluster,606.0915
DC15126,Keratin,2705.1611
DC15126,Keratin (Human),1638.7657
DC15126,Keratin (Human),1638.8598
DC15044,4HCCA Cluster,855.0714
DC15044,4HCCA Cluster,861.0794
DC15044,Bovine Casein a-S1,1267.7045
DC15044,Keratin,809.4403
DC15044,Keratin,1549.6772
DC15044,Keratin,2705.1611
DC15044,Keratin (Human),1475.7489
DC15044,Keratin (Human),1475.7853
DC15044,Keratin (Human),1638.7657
DC15044,Keratin (Human),1638.8598
DC15006,4HCCA Cluster,855.0714
DC15006,4HCCA Cluster,861.0794
DC15006,4HCCA Cluster,871.0453
DC15006,4HCCA Cluster,606.0915
DC15006,Bovine Casein a-S1,1267.7045
DC15006,Keratin,1549.6772
DC15006,Keratin (Human),1201.6171
DC15256,4HCCA Cluster,855.0714
DC15256,4HCCA Cluster,871.0453
DC15256,4HCCA Cluster,606.0915
DC15256,Bovine Casein a-S1,1267.7045
DC15105,4HCCA Cluster,855.0714
DC15105,4HCCA Cluster,871.0453
DC15105,4HCCA Cluster,1066.0959
DC15105,4HCCA Cluster,1060.0879
DC15105,4HCCA Cluster,606.0915
DC15118,4HCCA Cluster,855.0714
DC15118,4HCCA Cluster,871.0453
DC15118,4HCCA Cluster,606.0915
DC15118,Bovine Serum Albumin (BSA),1491.7518
DC15118,Keratin,2705.1611
DC15118,Keratin (Human),1491.7438
DC15118,Keratin (Human),1765.7347
DC15118,"Keratin (Human), ion source fragment",863.4734
DC15209,4HCCA Cluster,871.0453
DC15209,Keratin,2705.1611
DC15209,Keratin (Human),1475.7489
DC15209,Keratin (Human),1475.7853
DC15209,"Porcine Trypsin, Methylated",2720.3634
DC15027,4HCCA Cluster,855.0714
DC15027,4HCCA Cluster,861.0794
DC15027,4HCCA Cluster,1066.0959
DC15027,Keratin,1549.6772
DC15027,Keratin,2705.1611
DC15027,Keratin (Human),1193.6161
DC15027,Keratin (Human),1201.6171
DC15251,4HCCA Cluster,855.0714
DC15251,4HCCA Cluster,871.0453
DC15251,4HCCA Cluster,606.0915
DC15251,Bovine Casein a-S1,1267.7045
DC15251,Keratin (Human),1201.6171
DC15124,4HCCA Cluster,871.0453
DC15124,4HCCA Cluster,606.0915
DC15124,Bovine Casein a-S1,1267.7045
DC15124,Keratin,2705.1611
DC15050,4HCCA Cluster,855.0714
DC15050,4HCCA Cluster,861.0794
DC15050,Bovine Casein a-S1,1267.7045
DC15050,Keratin,1549.6772
DC15050,Keratin (Human),2566.2784
DC15264,4HCCA Cluster,855.0714
DC15264,4HCCA Cluster,871.0453
DC15264,4HCCA Cluster,606.0915
DC15047,4HCCA Cluster,839.0974
DC15047,4HCCA Cluster,855.0714
DC15047,4HCCA Cluster,861.0794
DC15047,4HCCA Cluster,871.0453
DC15047,4HCCA Cluster,1066.0959
DC15047,Bovine Casein a-S1,1267.7045
DC15047,Keratin,1549.6772
DC15047,Keratin (Human),1201.6171
DC15047,Keratin (Human),2566.2784
DC15040,4HCCA Cluster,839.0974
DC15040,4HCCA Cluster,845.1054
DC15040,4HCCA Cluster,855.0714
DC15040,4HCCA Cluster,861.0794
DC15040,4HCCA Cluster,1066.0959
DC15040,Bovine Casein a-S1,1267.7045
DC15040,Keratin,1549.6772
DC15040,Keratin,2705.1611
DC15040,Keratin (Human),2150.0778
DC15282,4HCCA Cluster,871.0453
DC15282,4HCCA Cluster,606.0915
DC15282,Bovine Casein a-S1,1267.7045
DC15282,"Porcine Trypsin, Methylated",2720.3634
DC15021,4HCCA Cluster,839.0974
DC15021,4HCCA Cluster,855.0714
DC15021,4HCCA Cluster,861.0794
DC15021,4HCCA Cluster,871.0453
DC15021,4HCCA Cluster,1066.0959
DC15021,4HCCA Cluster,606.0915
DC15021,Bovine Casein a-S1,1267.7045
DC15021,Keratin,2705.1611
DC15021,Keratin (Human),2286.1248
DC15142,4HCCA Cluster,855.0714
DC15142,4HCCA Cluster,871.0453
DC15142,4HCCA Cluster,606.0915
DC15142,Bovine Casein a-S1,1267.7045
DC15142,Bovine Serum Albumin (BSA),1491.7518
DC15142,Keratin,1549.6772
DC15142,Keratin,2705.1611
DC15142,Keratin (Human),1201.6171
DC15142,Keratin (Human),1475.7489
DC15142,Keratin (Human),1475.7853
DC15142,Keratin (Human),1491.7438
DC15111,4HCCA Cluster,855.0714
DC15111,4HCCA Cluster,871.0453
DC15111,4HCCA Cluster,606.0915
DC15111,Bovine Casein a-S1,1251.7096
DC15111,Bovine Casein a-S1,1267.7045
DC15111,Bovine Serum Albumin (BSA),1491.7518
DC15111,Keratin,1549.6772
DC15111,Keratin,2581.1947
DC15111,Keratin,2705.1611
DC15111,Keratin (Human),1491.7438
DC15111,Keratin (Human),1638.7657
DC15111,Keratin (Human),1638.8598
DC15111,Keratin (Human),2566.2784
DC15287,4HCCA Cluster,871.0453
DC15144,4HCCA Cluster,855.0714
DC15144,4HCCA Cluster,606.0915
DC15144,Bovine Casein a-S1,1267.7045
DC15144,Keratin (Human),2286.1248
DC15133,4HCCA Cluster,855.0714
DC15133,4HCCA Cluster,871.0453
DC15133,4HCCA Cluster,606.0915
DC15133,Keratin,1549.6772
DC15133,Keratin,2705.1611
DC15133,Keratin (Human),1193.6161
DC15133,Keratin (Human),2286.1248
DC15035,4HCCA Cluster,855.0714
DC15035,4HCCA Cluster,861.0794
DC15035,Bovine Casein a-S1,1267.7045
DC15035,Keratin,1549.6772
DC15035,Keratin,2705.1611
DC15035,Keratin (Human),1201.6171
DC15035,Keratin (Human),1475.7489
DC15035,Keratin (Human),1475.7853
DC15253,4HCCA Cluster,871.0453
DC15253,Bovine Casein a-S1,1267.7045
DC15018,4HCCA Cluster,855.0714
DC15018,4HCCA Cluster,861.0794
DC15018,4HCCA Cluster,871.0453
DC15018,Keratin,1549.6772
DC15018,Keratin,2705.1611
DC15018,Keratin (Human),973.5313
DC15237,4HCCA Cluster,855.0714
DC15237,4HCCA Cluster,871.0453
DC15237,Bovine Casein a-S1,1267.7045
DC15237,Keratin (Human),1193.6161
DC15239,4HCCA Cluster,855.0714
DC15239,4HCCA Cluster,871.0453
DC15239,4HCCA Cluster,1060.0879
DC15239,4HCCA Cluster,606.0915
DC15025,4HCCA Cluster,855.0714
DC15025,4HCCA Cluster,861.0794
DC15025,4HCCA Cluster,871.0453
DC15025,4HCCA Cluster,1066.0959
DC15025,Bovine Casein a-S1,1267.7045
DC15025,Keratin,1549.6772
DC15025,Keratin,2705.1611
DC15025,Keratin (Human),1475.7489
DC15025,Keratin (Human),1475.7853
DC15136,4HCCA Cluster,855.0714
DC15136,4HCCA Cluster,606.0915
DC15136,Bovine Casein a-S1,1267.7045
DC15136,Bovine Serum Albumin (BSA),1491.7518
DC15136,Keratin,1549.6772
DC15136,Keratin,2705.1611
DC15136,Keratin (Human),1491.7438
DC15136,Keratin (Human),1638.7657
DC15136,Keratin (Human),1638.8598
DC15099,4HCCA Cluster,855.0714
DC15099,4HCCA Cluster,871.0453
DC15099,Bovine Casein a-S1,1267.7045
DC15099,Keratin,1549.6772
DC15099,Keratin,2705.1611
DC15099,Keratin (Human),1179.6004
DC15099,Keratin (Human),2286.1248
DC15252,4HCCA Cluster,855.0714
DC15252,4HCCA Cluster,871.0453
DC15252,4HCCA Cluster,606.0915
DC15252,Keratin (Human),2510.1318
DC15233,4HCCA Cluster,871.0453
DC15233,Bovine Casein a-S1,1267.7045
DC15233,Keratin (Human),1201.6171
DC15233,Keratin (Human),2286.1248
DC15233,"Porcine Trypsin, Methylated",2720.3634
DC15218,Bovine Casein a-S1,1267.7045
DC15218,Keratin,2705.1611
DC15057,4HCCA Cluster,855.0714
DC15057,4HCCA Cluster,861.0794
DC15057,4HCCA Cluster,871.0453
DC15057,Bovine Casein a-S1,1267.7045
DC15057,Keratin,1549.6772
DC15057,Keratin,2705.1611
DC15057,Keratin (Human),1193.6161
DC15057,Keratin (Human),1201.6171
DC15057,"Porcine Trypsin, Methylated",2720.3634
DC15265,4HCCA Cluster,855.0714
DC15265,4HCCA Cluster,871.0453
DC15265,4HCCA Cluster,606.0915
DC15265,Bovine Casein a-S1,1267.7045
DC15265,Keratin (Human),2510.1318
DC15054,4HCCA Cluster,855.0714
DC15054,4HCCA Cluster,861.0794
DC15054,4HCCA Cluster,1066.0959
DC15054,Bovine Casein a-S1,1267.7045
DC15054,Keratin,1549.6772
DC15054,Keratin,2240.1697
DC15054,Keratin (Human),1201.6171
DC15054,Keratin (Human),1475.7489
DC15054,Keratin (Human),1475.7853
DC15054,Keratin (Human),1638.7657
DC15054,Keratin (Human),1638.8598
DC15054,Keratin (Human),2566.2784
DC15054,"Porcine Trypsin, Methylated",2720.3634
DC15070,4HCCA Cluster,839.0974
DC15070,4HCCA Cluster,855.0714
DC15070,4HCCA Cluster,861.0794
DC15070,4HCCA Cluster,871.0453
DC15070,4HCCA Cluster,1066.0959
DC15070,4HCCA Cluster,606.0915
DC15070,Keratin,1549.6772
DC15070,Keratin (Human),1638.7657
DC15070,Keratin (Human),1638.8598
DC15070,"Porcine Trypsin, Methylated",2720.3634
DC15213,4HCCA Cluster,871.0453
DC15213,Bovine Casein a-S1,1267.7045
DC15213,Bovine Serum Albumin (BSA),1491.7518
DC15213,Keratin,1549.6772
DC15213,Keratin (Human),1491.7438
DC15213,"Porcine Trypsin, Methylated",2720.3634
DC15288,4HCCA Cluster,855.0714
DC15288,4HCCA Cluster,871.0453
DC15288,4HCCA Cluster,606.0915
DC15288,Bovine Casein a-S1,1267.7045
DC15078,4HCCA Cluster,839.0974
DC15078,4HCCA Cluster,855.0714
DC15078,4HCCA Cluster,861.0794
DC15078,4HCCA Cluster,871.0453
DC15078,4HCCA Cluster,1066.0959
DC15078,4HCCA Cluster,606.0915
DC15078,Bovine Casein a-S1,1267.7045
DC15078,Keratin,1549.6772
DC15078,Keratin,2705.1611
DC15078,Keratin (Human),2286.1248
DC15088,4HCCA Cluster,839.0974
DC15088,4HCCA Cluster,855.0714
DC15088,4HCCA Cluster,861.0794
DC15088,4HCCA Cluster,871.0453
DC15088,Keratin,2564.3679
DC15088,Keratin,2705.1611
DC15088,Keratin (Human),1201.6171
DC15088,Keratin (Human),1638.7657
DC15088,Keratin (Human),1638.8598
DC15088,"Porcine Trypsin, Methylated",2564.1809
DC15086,4HCCA Cluster,855.0714
DC15086,4HCCA Cluster,606.0915
DC15086,Bovine Casein a-S1,1267.7045
DC15086,Keratin,2705.1611
DC15086,Keratin (Human),1193.6161
DC15022,4HCCA Cluster,839.0974
DC15022,4HCCA Cluster,855.0714
DC15022,4HCCA Cluster,861.0794
DC15022,4HCCA Cluster,871.0453
DC15022,Bovine Casein a-S1,1267.7045
DC15022,Keratin,2705.1611
DC15109,4HCCA Cluster,855.0714
DC15109,4HCCA Cluster,861.0794
DC15109,4HCCA Cluster,871.0453
DC15109,4HCCA Cluster,1066.0959
DC15109,4HCCA Cluster,1060.0879
DC15109,4HCCA Cluster,606.0915
DC15109,Keratin,2564.3679
DC15109,Keratin,2705.1611
DC15109,"Porcine Trypsin, Methylated",2564.1809
DC15145,4HCCA Cluster,855.0714
DC15145,4HCCA Cluster,871.0453
DC15145,4HCCA Cluster,606.0915
DC15145,Keratin,2705.1611
DC15234,4HCCA Cluster,855.0714
DC15234,4HCCA Cluster,871.0453
DC15234,Bovine Casein a-S1,1267.7045
DC15234,"Porcine Trypsin, Methylated",2720.3634
DC15279,4HCCA Cluster,855.0714
DC15279,4HCCA Cluster,871.0453
DC15279,4HCCA Cluster,606.0915
DC15279,Keratin,2581.1947
DC15279,Keratin (Human),2510.1318
DC15219,Bovine Casein a-S1,1267.7045
DC15219,Bovine Serum Albumin (BSA),1491.7518
DC15219,Keratin,1549.6772
DC15219,Keratin (Human),1491.7438
DC15219,Keratin (Human),2566.2784
DC15229,4HCCA Cluster,855.0714
DC15229,4HCCA Cluster,871.0453
DC15229,4HCCA Cluster,606.0915
DC15229,Bovine Casein a-S1,1267.7045
DC15229,Keratin,2705.1611
DC15011,4HCCA Cluster,839.0974
DC15011,4HCCA Cluster,855.0714
DC15011,4HCCA Cluster,861.0794
DC15011,4HCCA Cluster,871.0453
DC15011,4HCCA Cluster,1066.0959
DC15011,4HCCA Cluster,1060.0879
DC15011,4HCCA Cluster,606.0915
DC15011,Keratin (Human),1193.6161
DC15002,4HCCA Cluster,839.0974
DC15002,4HCCA Cluster,855.0714
DC15002,4HCCA Cluster,861.0794
DC15002,4HCCA Cluster,1066.0959
DC15002,Keratin,2705.1611
DC15002,Keratin (Human),1193.6161
DC15002,Keratin (Human),1208.6157
DC15104,4HCCA Cluster,855.0714
DC15104,4HCCA Cluster,606.0915
DC15104,Keratin,1549.6772
DC15104,Keratin (Human),1638.7657
DC15104,Keratin (Human),1638.8598
DC15104,"Porcine Trypsin, Methylated",2720.3634
DC15270,4HCCA Cluster,855.0714
DC15270,4HCCA Cluster,871.0453
DC15270,4HCCA Cluster,606.0915
DC15270,Bovine Casein a-S1,1267.7045
DC15283,4HCCA Cluster,871.0453
DC15230,Keratin,2705.1611
DC12756,4HCCA Cluster,871.0453
DC12756,4HCCA Cluster,606.0915
DC12767,4HCCA Cluster,871.0453
DC15274,4HCCA Cluster,871.0453
DC15274,Bovine Casein a-S1,1267.7045
DC15274,Keratin,2705.1611
DC15274,Keratin (Human),2286.1248
DC15134,4HCCA Cluster,855.0714
DC15134,4HCCA Cluster,606.0915
DC15134,Bovine Casein a-S1,1267.7045
DC15134,Keratin,1549.6772
DC15134,Keratin,2705.1611
DC15134,Keratin (Human),1193.6161
DC15082,Keratin,809.4403
DC15082,Keratin,1549.6772
DC15082,Keratin,2705.1611
DC15082,Keratin (Human),1638.7657
DC15082,Keratin (Human),1638.8598
DC15264,Keratin,2705.1611
DC15271,4HCCA Cluster,855.0714
DC15271,4HCCA Cluster,871.0453
DC15271,4HCCA Cluster,606.0915
DC15013,4HCCA Cluster,839.0974
DC15013,4HCCA Cluster,855.0714
DC15013,4HCCA Cluster,861.0794
DC15013,4HCCA Cluster,871.0453
DC15013,4HCCA Cluster,1066.0959
DC15013,4HCCA Cluster,606.0915
DC15013,Bovine Casein a-S1,1267.7045
DC15013,Keratin,2705.1611
DC15013,Keratin (Human),2286.1248
DC15235,Bovine Casein a-S1,1267.7045
DC15235,Keratin,2705.1611
DC15102,4HCCA Cluster,855.0714
DC15102,4HCCA Cluster,871.0453
DC15102,4HCCA Cluster,606.0915
DC15102,Bovine Casein a-S1,1267.7045
DC15102,Keratin,809.4403
DC15102,Keratin,1549.6772
DC15102,Keratin,2581.1947
DC15102,Keratin,2705.1611
DC15102,Keratin (Human),1201.6171
DC15139,4HCCA Cluster,855.0714
DC15139,4HCCA Cluster,871.0453
DC15139,4HCCA Cluster,1060.0879
DC15139,4HCCA Cluster,606.0915
DC15139,Keratin,1549.6772
DC15139,Keratin,2705.1611
DC15139,Keratin (Human),1193.6161
DC15257,4HCCA Cluster,855.0714
DC15257,4HCCA Cluster,871.0453
DC15131,4HCCA Cluster,855.0714
DC15131,4HCCA Cluster,871.0453
DC15131,4HCCA Cluster,606.0915
DC15131,Bovine Casein a-S1,1267.7045
DC15131,Bovine Serum Albumin (BSA),1491.7518
DC15131,Keratin,1549.6772
DC15131,Keratin,2705.1611
DC15131,Keratin (Human),1491.7438
DC15218,Bovine Casein a-S1,1267.7045
DC15218,Keratin,1549.6772
DC15218,Keratin,2705.1611
DC15218,Keratin (Human),1193.6161
DC15016,4HCCA Cluster,839.0974
DC15016,4HCCA Cluster,855.0714
DC15016,4HCCA Cluster,861.0794
DC15016,4HCCA Cluster,871.0453
DC15016,4HCCA Cluster,1066.0959
DC15016,4HCCA Cluster,606.0915
DC15016,Bovine Casein a-S1,1267.7045
DC15016,Keratin,1549.6772
DC15016,Keratin (Human),1475.7489
DC15016,Keratin (Human),1475.7853
DC15143,4HCCA Cluster,855.0714
DC15143,4HCCA Cluster,871.0453
DC15143,4HCCA Cluster,606.0915
DC15143,Bovine Casein a-S1,1267.7045
DC15143,Keratin,1797.0116
DC15143,Keratin,2705.1611
DC15009,4HCCA Cluster,839.0974
DC15009,4HCCA Cluster,855.0714
DC15009,4HCCA Cluster,861.0794
DC15009,4HCCA Cluster,871.0453
DC15009,4HCCA Cluster,1066.0959
DC15009,4HCCA Cluster,1060.0879
DC15009,4HCCA Cluster,606.0915
DC15009,Bovine Casein a-S1,1267.7045
DC15009,Keratin,1549.6772
DC15009,Keratin,2705.1611
DC15009,Keratin (Human),1201.6171
DC15009,Keratin (Human),2286.1248
DC15059,4HCCA Cluster,855.0714
DC15059,4HCCA Cluster,861.0794
DC15059,4HCCA Cluster,1066.0959
DC15059,Bovine Casein a-S1,1267.7045
DC15059,Keratin,1797.0116
DC15059,Keratin (Human),1201.6171
DC15254,4HCCA Cluster,855.0714
DC15254,4HCCA Cluster,871.0453
DC15254,4HCCA Cluster,606.0915
DC15121,4HCCA Cluster,855.0714
DC15121,4HCCA Cluster,861.0794
DC15121,4HCCA Cluster,871.0453
DC15121,4HCCA Cluster,1066.0959
DC15121,4HCCA Cluster,606.0915
DC15121,Bovine Serum Albumin (BSA),1491.7518
DC15121,Keratin,2705.1611
DC15121,Keratin (Human),1201.6171
DC15121,Keratin (Human),1491.7438
DC15074,4HCCA Cluster,855.0714
DC15074,Keratin,1549.6772
DC15074,Keratin,2705.1611
DC15074,"Porcine Trypsin, Methylated",2720.3634
DC15029,4HCCA Cluster,839.0974
DC15029,4HCCA Cluster,845.1054
DC15029,4HCCA Cluster,855.0714
DC15029,4HCCA Cluster,861.0794
DC15029,4HCCA Cluster,871.0453
DC15029,4HCCA Cluster,1066.0959
DC15029,Keratin,1549.6772
DC15029,Keratin,2581.1947
DC15029,Keratin,2705.1611
DC15029,Keratin (Human),1201.6171
DC15029,Keratin (Human),1208.6157
DC15029,"Porcine Trypsin, Methylated",2720.3634
DC15061,4HCCA Cluster,855.0714
DC15061,4HCCA Cluster,861.0794
DC15061,4HCCA Cluster,606.0915
DC15061,Bovine Casein a-S1,1267.7045
DC15061,Keratin,1549.6772
DC15061,Keratin,2705.1611
DC15061,"Porcine Trypsin, Methylated",2720.3634
DC15073,4HCCA Cluster,839.0974
DC15073,4HCCA Cluster,855.0714
DC15073,4HCCA Cluster,861.0794
DC15073,4HCCA Cluster,1066.0959
DC15073,Bovine Casein a-S1,1267.7045
DC15073,Keratin,1549.6772
DC15073,Keratin,2705.1611
DC15073,"Porcine Trypsin, Methylated",2720.3634
DC12748,Keratin,2705.1611
DC15087,4HCCA Cluster,855.0714
DC15087,4HCCA Cluster,861.0794
DC15087,4HCCA Cluster,871.0453
DC15087,Keratin,1549.6772
DC15087,Keratin,2581.1947
DC15087,Keratin (Human),1193.6161
DC15000,4HCCA Cluster,855.0714
DC15000,4HCCA Cluster,861.0794
DC15000,Bovine Casein a-S1,1267.7045
DC15000,Keratin,2705.1611
DC15000,Keratin (Human),2286.1248
DC15000,Keratin (Human),2501.0672
DC15000,Keratin (Human),2501.2518
DC15000,"Porcine Trypsin, Methylated",2720.3634
DC15008,4HCCA Cluster,839.0974
DC15008,4HCCA Cluster,855.0714
DC15008,4HCCA Cluster,861.0794
DC15008,4HCCA Cluster,871.0453
DC15008,4HCCA Cluster,1066.0959
DC15008,4HCCA Cluster,606.0915
DC15008,Keratin,1797.0116
DC15008,Keratin,2705.1611
DC15123,4HCCA Cluster,855.0714
DC15123,4HCCA Cluster,871.0453
DC15123,4HCCA Cluster,606.0915
DC15123,Keratin,2705.1611
DC15100,4HCCA Cluster,855.0714
DC15100,4HCCA Cluster,871.0453
DC15100,4HCCA Cluster,1066.0959
DC15100,4HCCA Cluster,606.0915
DC15100,Bovine Casein a-S1,1251.7096
DC15100,Bovine Casein a-S1,1267.7045
DC15100,Keratin,1549.6772
DC15100,Keratin,2705.1611
DC15100,Keratin (Human),2566.2784
DC15238,4HCCA Cluster,871.0453
DC15238,Bovine Casein a-S1,1267.7045
DC15238,Keratin,2705.1611
DC15067,4HCCA Cluster,839.0974
DC15067,4HCCA Cluster,855.0714
DC15067,4HCCA Cluster,861.0794
DC15067,4HCCA Cluster,871.0453
DC15067,4HCCA Cluster,1066.0959
DC15067,4HCCA Cluster,606.0915
DC15110,4HCCA Cluster,855.0714
DC15110,4HCCA Cluster,871.0453
DC15110,4HCCA Cluster,606.0915
DC15110,Keratin,2705.1611
DC15110,Keratin (Human),1193.6161
DC15110,"Porcine Trypsin, Methylated",2720.3634
DC15226,Keratin,1549.6772
DC15226,Keratin,2705.1611
DC15226,"Porcine Trypsin, Methylated",2720.3634
DC15146,4HCCA Cluster,855.0714
DC15146,4HCCA Cluster,871.0453
DC15146,4HCCA Cluster,606.0915
DC15146,Keratin,2564.3679
DC15146,Keratin,2705.1611
DC15146,"Porcine Trypsin, Methylated",2564.1809
DC15122,4HCCA Cluster,855.0714
DC15122,4HCCA Cluster,606.0915
DC15122,Keratin,809.4403
DC15122,Keratin,1549.6772
DC15122,Keratin,2705.1611
DC15122,Keratin (Human),1201.6171
DC15091,4HCCA Cluster,855.0714
DC15091,4HCCA Cluster,861.0794
DC15091,4HCCA Cluster,871.0453
DC15091,4HCCA Cluster,1066.0959
DC15091,4HCCA Cluster,606.0915
DC15091,Bovine Serum Albumin (BSA),1491.7518
DC15091,Keratin,2240.1697
DC15091,Keratin (Human),1475.7489
DC15091,Keratin (Human),1475.7853
DC15091,Keratin (Human),1491.7438
DC15032,4HCCA Cluster,839.0974
DC15032,4HCCA Cluster,855.0714
DC15032,4HCCA Cluster,861.0794
DC15032,Bovine Casein a-S1,1267.7045
DC15032,Keratin,1549.6772
DC15032,Keratin,2581.1947
DC15032,Keratin,2705.1611
DC15032,Keratin (Human),2286.1248
DC12745,4HCCA Cluster,871.0453
DC12745,4HCCA Cluster,606.0915
DC1506,4HCCA Cluster,606.0915
DC1506,Porcine Trypsin - Methylated,870.5407
DC15246,4HCCA Cluster,855.0714
DC15246,4HCCA Cluster,871.0453
DC15246,4HCCA Cluster,606.0915
DC15031,4HCCA Cluster,855.0714
DC15031,4HCCA Cluster,861.0794
DC15031,Bovine Serum Albumin (BSA),1479.7954
DC15031,Keratin,1549.6772
DC15031,Keratin,2705.1611
DC15031,Keratin (Human),874.4993
DC15031,Keratin (Human),1201.6171
DC15031,Keratin (Human),1307.6776
DC15031,Keratin (Human),1393.7322
DC15281,4HCCA Cluster,855.0714
DC15281,4HCCA Cluster,871.0453
DC15147,4HCCA Cluster,855.0714
DC15147,4HCCA Cluster,871.0453
DC15147,4HCCA Cluster,606.0915
DC15147,Keratin,1549.6772
DC15147,Keratin,2705.1611
DC15147,Keratin (Human),1201.6171
DC15147,Keratin (Human),2286.1248
DC15227,4HCCA Cluster,871.0453
DC15227,4HCCA Cluster,606.0915
DC15227,Bovine Casein a-S1,1267.7045
DC15227,Keratin,2705.1611
