Sample,contaminant,mass
DC15244,Keratin,2705.1611
DC15023,4HCCA Cluster,839.0974
DC15023,4HCCA Cluster,855.0714
DC15023,4HCCA Cluster,861.0794
DC15023,4HCCA Cluster,871.0453
DC15023,4HCCA Cluster,606.0915
DC15023,Keratin,1549.6772
DC15023,Keratin,2581.1947
DC15023,Keratin,2705.1611
DC15023,Keratin (Human),1193.6161
DC15046,4HCCA Cluster,855.0714
DC15046,4HCCA Cluster,861.0794
DC15046,4HCCA Cluster,871.0453
DC15046,4HCCA Cluster,1066.0959
DC15046,Bovine Casein a-S1,1267.7045
DC15046,Bovine Serum Albumin (BSA),1002.583
DC15046,Bovine Serum Albumin (BSA),1491.7518
DC15046,Keratin,1549.6772
DC15046,Keratin (Human),1201.6171
DC15046,Keratin (Human),1475.7489
DC15046,Keratin (Human),1475.7853
DC15046,Keratin (Human),1491.7438
DC15113,4HCCA Cluster,855.0714
DC15113,4HCCA Cluster,861.0794
DC15113,4HCCA Cluster,871.0453
DC15113,4HCCA Cluster,1060.0879
DC15113,4HCCA Cluster,606.0915
DC15113,Bovine Casein a-S1,1267.7045
DC15113,Keratin,1549.6772
DC15113,Keratin,2705.1611
DC15113,Keratin (Human),1193.6161
DC15113,Keratin (Human),2286.1248
DC15083,4HCCA Cluster,855.0714
DC15083,4HCCA Cluster,861.0794
DC15083,Bovine Casein a-S1,1267.7045
DC15083,Keratin,1549.6772
DC15083,Keratin,2705.1611
DC15083,Keratin (Human),1193.6161
DC15083,Keratin (Human),2286.1248
DC15137,4HCCA Cluster,855.0714
DC15137,4HCCA Cluster,871.0453
DC15137,4HCCA Cluster,606.0915
DC15137,Keratin,1549.6772
DC15137,Keratin (Human),1193.6161
DC15137,Keratin (Human),2286.1248
DC15034,4HCCA Cluster,855.0714
DC15034,4HCCA Cluster,861.0794
DC15034,4HCCA Cluster,871.0453
DC15034,4HCCA Cluster,1066.0959
DC15034,Keratin,2705.1611
DC15034,Keratin (Human),1193.6161
DC15034,Keratin (Human),2286.1248
DC15039,Bovine Casein a-S1,1267.7045
DC15039,Keratin,1549.6772
DC15039,Keratin (Human),1475.7489
DC15039,Keratin (Human),1475.7853
DC15039,Keratin (Human),2566.2784
DC15225,4HCCA Cluster,855.0714
DC15225,4HCCA Cluster,871.0453
DC15225,4HCCA Cluster,606.0915
DC15225,Bovine Casein a-S1,1267.7045
