contaminant,mass
Keratin (Human),1374.6933
Keratin (Human),1381.6482
Keratin (Human),1383.6903
Keratin (Human),1393.7322
Keratin (Human),1410.7084
Keratin (Human),1419.7954
Keratin (Human),1434.77
Keratin (Human),1438.7437
Keratin (Human),1447.7751
Keratin (Human),1475.7489
Keratin (Human),1475.7853
Keratin (Human),1491.7438
Keratin (Human),1493.7343
Keratin (Human),1507.7387
Keratin (Human),1585.7584
Keratin (Human),1638.7657
Keratin (Human),1638.8598
Keratin (Human),1657.7929
Keratin (Human),1665.9044
Keratin (Human),1687.9701
Keratin (Human),1707.7721
Keratin (Human),1708.7132
Keratin (Human),1716.8511
Keratin (Human),1744.9228
Keratin (Human),1765.7347
Keratin (Human),1791.7277
Keratin (Human),1812.8583
Keratin (Human),1838.9144
Keratin (Human),1993.9767
Keratin (Human),1993.9825
Keratin (Human),2021.9887
Keratin (Human),2096.058
Keratin (Human),2150.0778
Keratin (Human),2286.1248
Keratin (Human),2367.2627
Keratin (Human),2383.9519
Keratin (Human)+Mox,2399.9468
Keratin (Human),2399.0184
Keratin (Human),2501.0672
Keratin (Human),2501.2518
Keratin (Human),2510.1318
Keratin (Human),2566.2784
Keratin (Human),2584.2063
Keratin (Human),2932.5163
Keratin (Human),3312.3081
"Keratin (Human), ion source fragment",646.3519
"Keratin (Human), ion source fragment",863.4734
"Keratin (Human), ion source fragment",865.4778
"Keratin (Human), ion-source fragment",1399.7005
Porcine Trypsin,571.3562
Porcine Trypsin,672.4039
Porcine Trypsin,672.4039
Porcine Trypsin,743.441
Porcine Trypsin,758.4155
Porcine Trypsin,842.5094
Porcine Trypsin,906.5043
Porcine Trypsin,1045.5637
Porcine Trypsin,1091.548
Porcine Trypsin,1175.634
Porcine Trypsin,1191.629
Porcine Trypsin,1220.5906
Porcine Trypsin,1493.5995
Porcine Trypsin,1774.897
Porcine Trypsin,2211.104
Porcine Trypsin,2225.1197
Porcine Trypsin+Na,2233.086
Porcine Trypsin,2239.1353
Porcine Trypsin+K,2249.0599
Porcine Trypsin,2283.1802
Porcine Trypsin+Mox,2299.1751
Porcine Trypsin+Na,2305.16215
Porcine Trypsin - Methylated,870.5407
"Porcine Trypsin, Methylated",1424.7645
"Porcine Trypsin, Methylated",1623.8853
"Porcine Trypsin, Methylated",1987.078
"Porcine Trypsin, Methylated",2003.0729
"Porcine Trypsin, Methylated",2297.1958
"Porcine Trypsin, Methylated+Mox",2313.1907
"Porcine Trypsin, Methylated",2564.1809
"Porcine Trypsin, Methylated",2707.4162
"Porcine Trypsin, Methylated",2720.3634
"Porcine Trypsin, Methylated",2748.3947
"Porcine Trypsin, Methylated",2807.3141
"Porcine Trypsin, Methylated",2914.5058
"Porcine Trypsin, Methylated",3346.6815
"Porcine Trypsin, Methylated, Truncated",1126.564
"Porcine Trypsin, Truncated",802.4305
"Porcine Trypsin, Truncated",1713.8079
"Porcine Trypsin, Truncated",2083.0091
"Porcine Trypsin, Truncated, Methylated",1940.9349
